,Ranking,Players,Atp_points,Ages,Turned Pro,Weight,height,W-L Year,W-L Career,Title Year,Title Career,Career High Date,Career High Rank,Year Price Money,Career Price Money,Aces,Double Faults,First Serves,First Serve Points Won,Second Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,1,Carlos Alcaraz,"7,675",20,2018,163lbs(74kg),"6'0""(183cm)",40-4,130-35,5,11,Career High 2022.09.12,1,"$4,831,089","$16,660,732",567,368,65%,71%,55%,987,63%,"2,005",82%,65%,35%,53%,"1,521",42%,"2,010",32%,42%,53%
1,2,Novak Djokovic,"7,595",36,2003,170lbs(77kg),"6'2""(188cm)",27-4,1058-210,3,94,Career High 2011.07.04,1,"$5,070,668","$169,762,762","6,827","2,816",65%,74%,55%,"6,245",65%,"15,337",86%,67%,34%,55%,"10,796",44%,"14,905",32%,42%,55%
2,3,Daniil Medvedev,"5,890",27,2014,182lbs(83kg),"6'6""(198cm)",41-8,308-126,5,20,Career High 2022.02.28,1,"$4,895,309","$31,495,691","3,437","1,457",61%,75%,52%,"2,278",63%,"5,121",84%,66%,31%,54%,"3,261",43%,"5,129",27%,40%,53%
3,4,Casper Ruud,"4,960",24,2015,170lbs(77kg),"6'0""(183cm)",22-12,192-104,1,10,Career High 2022.09.12,2,"$2,340,478","$15,411,069","1,358",621,65%,72%,54%,"1,514",63%,"3,406",83%,66%,29%,51%,"1,968",40%,"3,330",24%,37%,52%
4,5,Stefanos Tsitsipas,"4,670",24,2016,198lbs(90kg),"6'4""(193cm)",32-12,281-131,0,9,Career High 2021.08.09,3,"$3,268,642","$26,467,649","2,889",904,62%,76%,55%,"2,049",65%,"5,229",86%,68%,29%,49%,"2,709",40%,"5,113",21%,36%,52%
5,6,Holger Rune,"4,510",20,2020,169lbs(77kg),"6'2""(188cm)",33-12,83-50,1,4,Career High 2023.05.22,6,"$2,442,758","$5,471,747",553,456,63%,72%,53%,745,62%,"1,537",82%,65%,30%,51%,892,41%,"1,551",23%,38%,51%
6,7,Andrey Rublev,"4,255",25,2014,165lbs(75kg),"6'2""(188cm)",31-13,267-145,1,13,Career High 2021.09.13,5,"$2,553,337","$17,805,025","2,675","1,040",60%,75%,50%,"2,330",62%,"4,854",82%,65%,30%,53%,"2,985",40%,"4,868",25%,39%,52%
7,8,Jannik Sinner,"3,345",21,2018,167lbs(76kg),"6'2""(188cm)",32-10,158-69,1,7,Career High 2023.04.10,8,"$2,249,155","$8,871,818","1,081",488,59%,73%,53%,"1,376",64%,"2,716",82%,65%,32%,53%,"1,715",43%,"2,697",27%,40%,52%
8,9,Taylor Fritz,"3,310",25,2015,190lbs(86kg),"6'5""(196cm)",33-15,210-159,1,5,Career High 2023.02.27,5,"$2,191,798","$12,340,577","3,375",895,59%,76%,51%,"2,127",62%,"4,670",83%,66%,27%,50%,"2,483",37%,"4,612",20%,36%,51%
9,10,Frances Tiafoe,"3,085",25,2015,190lbs(86kg),"6'2""(188cm)",28-10,165-154,2,3,Career High 2023.06.19,10,"$1,701,926","$9,013,283","2,261",778,61%,72%,52%,"2,074",62%,"4,131",81%,64%,27%,50%,"2,110",38%,"4,149",19%,36%,50%
10,11,Karen Khachanov,"3,035",27,2013,192lbs(87kg),"6'6""(198cm)",23-11,233-172,0,4,Career High 2019.07.15,8,"$1,874,427","$14,343,187","3,104","1,044",62%,73%,52%,"2,486",64%,"5,094",82%,65%,29%,50%,"2,696",40%,"5,100",21%,37%,51%
11,12,Felix Auger-Aliassime,"2,760",22,2017,194lbs(88kg),"6'4""(193cm)",13-10,173-113,0,4,Career High 2022.11.07,6,"$808,670","$11,073,713","2,607","1,144",64%,76%,50%,"1,583",64%,"3,448",83%,66%,30%,48%,"1,827",37%,"3,390",20%,36%,51%
12,13,Cameron Norrie,"2,610",27,2017,181lbs(82kg),"6'2""(188cm)",31-12,183-123,1,5,Career High 2022.09.12,8,"$1,581,870","$9,557,394","1,381",817,65%,70%,51%,"1,951",62%,"3,587",79%,63%,31%,51%,"2,127",42%,"3,580",25%,38%,51%
13,14,Borna Coric,"2,305",26,2013,187lbs(85kg),"6'2""(188cm)",16-13,204-169,0,3,Career High 2018.11.05,12,"$1,113,904","$11,231,812","2,055",767,62%,72%,53%,"2,134",61%,"4,297",81%,65%,27%,49%,"2,269",38%,"4,323",20%,36%,50%
14,15,Tommy Paul,"2,250",26,2015,180lbs(82kg),"6'1""(185cm)",22-14,112-92,0,1,Career High 2023.06.19,15,"$1,386,963","$5,154,621",892,448,62%,70%,52%,"1,314",61%,"2,447",79%,63%,30%,50%,"1,456",39%,"2,433",23%,38%,50%
15,16,Lorenzo Musetti,"2,210",21,2019,172lbs(78kg),"6'1""(185cm)",20-15,80-69,0,2,Career High 2023.06.26,15,"$1,246,229","$3,976,038",482,290,65%,69%,52%,929,59%,"1,707",78%,63%,30%,51%,989,42%,"1,708",24%,38%,50%
16,17,Alex de Minaur,"2,115",24,2015,152lbs(69kg),"6'0""(183cm)",21-13,177-121,1,7,Career High 2021.06.28,15,"$1,433,504","$9,324,161","1,016",705,60%,70%,53%,"1,850",61%,"3,438",79%,63%,31%,51%,"2,115",41%,"3,464",25%,39%,51%
17,18,Hubert Hurkacz,"2,060",26,2015,179lbs(81kg),"6'5""(196cm)",22-14,147-113,1,6,Career High 2021.11.08,9,"$1,194,621","$10,066,102","2,651",584,63%,76%,52%,"1,370",64%,"3,303",85%,67%,27%,48%,"1,623",36%,"3,251",18%,35%,51%
18,19,Francisco Cerundolo,"1,860",24,2018,176lbs(80kg),"6'1""(185cm)",28-16,56-48,1,2,Career High 2023.06.19,19,"$1,333,693","$2,928,968",238,314,64%,67%,50%,778,62%,"1,167",75%,61%,34%,51%,828,40%,"1,187",28%,41%,50%
19,20,Pablo Carreno Busta,"1,640",31,2009,172lbs(78kg),"6'2""(188cm)",1-3,268-212,0,7,Career High 2017.09.11,10,"$139,351","$15,246,193","1,919",849,65%,69%,52%,"3,141",62%,"5,751",79%,63%,29%,52%,"3,405",41%,"5,750",24%,38%,51%
20,21,Alexander Zverev,"1,630",26,2013,198lbs(90kg),"6'6""(198cm)",24-16,363-166,0,19,Career High 2022.06.13,2,"$1,774,072","$34,735,339","4,264","2,113",65%,74%,49%,"2,940",61%,"6,506",82%,66%,31%,51%,"3,936",42%,"6,517",25%,38%,52%
21,22,Jan-Lennard Struff,"1,625",33,2009,202lbs(92kg),"6'4""(193cm)",16-10,188-214,0,0,Career High 2023.06.19,21,"$1,151,872","$8,895,652","3,432","1,414",56%,76%,50%,"2,380",61%,"4,771",81%,64%,27%,49%,"2,414",37%,"4,785",19%,35%,50%
22,23,Roberto Bautista Agut,"1,480",35,2005,165lbs(75kg),"6'0""(183cm)",15-15,390-240,0,11,Career High 2019.11.04,9,"$829,868","$17,473,415","1,939","1,169",66%,70%,54%,"3,923",62%,"7,578",80%,64%,30%,53%,"4,754",41%,"7,442",26%,39%,52%
23,24,Grigor Dimitrov,"1,430",32,2008,179lbs(81kg),"6'3""(191cm)",20-12,392-264,0,8,Career High 2017.11.20,3,"$1,060,611","$23,053,583","4,434","2,248",62%,75%,51%,"3,874",63%,"8,206",82%,66%,30%,50%,"4,634",39%,"8,083",22%,37%,51%
24,25,Sebastian Korda,"1,355",23,2018,180lbs(82kg),"6'5""(196cm)",12-6,80-50,0,1,Career High 2023.06.26,25,"$734,642","$3,411,995",792,325,64%,71%,51%,896,64%,"1,610",80%,63%,31%,51%,977,41%,"1,592",25%,39%,51%
25,26,Alexander Bublik,"1,354",26,2016,180lbs(82kg),"6'5""(196cm)",13-19,116-116,1,2,Career High 2023.06.26,26,"$936,368","$5,230,974","2,710","1,459",58%,77%,45%,"1,434",62%,"2,693",80%,63%,28%,46%,"1,283",38%,"2,687",18%,35%,49%
26,27,Yoshihito Nishioka,"1,351",27,2014,141lbs(64kg),"5'7""(170cm)",13-10,107-120,0,2,Career High 2023.06.19,24,"$741,533","$5,156,971",410,372,66%,64%,53%,"1,733",58%,"2,635",72%,60%,28%,53%,"1,590",39%,"2,667",23%,38%,49%
27,28,Nicolas Jarry,"1,336",27,2014,198lbs(90kg),"6'6""(198cm)",22-10,79-78,2,3,Career High 2023.06.19,28,"$898,294","$3,346,798","1,246",384,63%,74%,53%,839,64%,"1,798",83%,66%,26%,46%,763,36%,"1,789",15%,34%,50%
28,29,Denis Shapovalov,"1,335",24,2017,165lbs(75kg),"6'1""(185cm)",10-12,178-148,0,1,Career High 2020.09.21,10,"$582,859","$10,789,440","2,542","1,703",59%,76%,51%,"1,899",65%,"4,027",83%,66%,28%,48%,"2,086",38%,"4,024",20%,36%,51%
29,30,Daniel Evans,"1,321",33,2006,165lbs(75kg),"5'9""(175cm)",8-16,136-148,0,1,Career High 2021.09.27,22,"$707,629","$7,063,823","1,094",737,61%,70%,51%,"1,880",61%,"3,221",78%,63%,30%,50%,"1,843",41%,"3,260",23%,38%,50%
30,31,Tallon Griekspoor,"1,254",27,2015,187lbs(85kg),"6'2""(188cm)",23-11,47-51,2,2,Career High 2023.06.19,29,"$867,787","$2,463,652",657,275,64%,73%,51%,576,64%,"1,162",82%,65%,25%,47%,483,36%,"1,166",15%,33%,49%
31,32,Tomas Martin Etcheverry,"1,201",23,2017,180lbs(82kg),"6'5""(196cm)",19-14,23-30,0,0,Career High 2023.06.19,30,"$864,329","$1,601,139",286,100,65%,69%,51%,371,61%,635,77%,62%,30%,49%,361,37%,631,21%,37%,50%
32,33,Nick Kyrgios,"1,175",28,2013,187lbs(85kg),"6'4""(193cm)",0-1,205-114,0,7,Career High 2016.10.24,13,"$8,281","$12,486,696","4,529","1,057",66%,77%,53%,"1,402",67%,"4,047",89%,69%,24%,47%,"1,674",39%,"4,037",16%,33%,51%
33,34,Alejandro Davidovich Fokina,"1,115",24,2017,176lbs(80kg),"6'0""(183cm)",19-16,83-85,0,0,Career High 2023.04.03,24,"$936,871","$4,476,449",424,458,67%,65%,51%,"1,343",58%,"2,136",73%,61%,32%,51%,"1,374",41%,"2,151",26%,39%,50%
34,35,Adrian Mannarino,"1,112",35,2004,174lbs(79kg),"5'11""(180cm)",20-15,265-303,0,2,Career High 2018.03.19,22,"$704,162","$10,338,098","2,627","1,434",60%,70%,51%,"3,960",59%,"6,757",76%,62%,28%,50%,"3,588",41%,"6,807",22%,37%,49%
35,36,Ben Shelton,"1,094",20,2022,195lbs(88kg),"6'4""(193cm)",9-15,12-18,0,0,Career High 2023.05.08,35,"$746,447","$1,130,247",310,147,61%,77%,51%,204,67%,429,84%,67%,24%,43%,141,43%,430,14%,31%,49%
36,37,Jiri Lehecka,"1,083",21,2020,179lbs(81kg),"6'1""(185cm)",21-14,34-35,0,0,Career High 2023.04.17,36,"$974,979","$1,992,302",317,150,65%,70%,51%,425,60%,774,78%,63%,28%,47%,390,38%,771,19%,35%,49%
37,38,Matteo Berrettini,"1,082",27,2015,209lbs(95kg),"6'5""(196cm)",7-7,151-82,0,7,Career High 2022.01.31,6,"$563,948","$11,087,059","2,265",453,63%,78%,53%,"1,168",68%,"3,014",88%,69%,28%,46%,"1,491",37%,"3,025",18%,35%,52%
38,39,Ugo Humbert,"1,042",25,2016,160lbs(73kg),"6'2""(188cm)",9-12,80-90,0,3,Career High 2021.06.21,25,"$542,041","$3,907,186","1,208",509,62%,73%,52%,"1,107",63%,"2,237",82%,65%,27%,47%,"1,097",35%,"2,205",18%,35%,50%
39,40,Andy Murray,"1,030",36,2005,181lbs(82kg),"6'3""(191cm)",8-9,725-242,0,46,Career High 2016.11.07,1,"$520,118","$63,768,403","6,339","2,376",58%,74%,52%,"5,678",62%,"11,697",82%,65%,33%,55%,"8,251",43%,"11,598",31%,41%,53%
40,41,Miomir Kecmanovic,"1,020",23,2017,165lbs(75kg),"6'0""(183cm)",17-18,110-106,0,1,Career High 2023.01.16,27,"$580,333","$4,747,602",835,417,61%,70%,54%,"1,412",62%,"2,482",78%,63%,28%,51%,"1,397",40%,"2,502",22%,37%,50%
41,42,Lorenzo Sonego,"1,015",28,2013,168lbs(76kg),"6'3""(191cm)",17-17,110-114,0,3,Career High 2021.10.04,21,"$810,853","$5,143,150","1,305",428,66%,73%,51%,"1,337",63%,"2,747",82%,65%,28%,47%,"1,322",38%,"2,734",18%,35%,50%
42,43,Christopher Eubanks,976,27,2017,180lbs(82kg),"6'7""(201cm)",12-10,21-33,1,1,Career High 2023.07.03,43,"$622,275","$1,808,629",573,193,68%,74%,50%,334,64%,725,83%,66%,23%,44%,234,36%,722,12%,31%,49%
43,44,Botic van de Zandschulp,975,27,2016,187lbs(85kg),"6'3""(191cm)",13-15,67-55,0,0,Career High 2022.08.29,22,"$678,699","$3,339,999",707,455,63%,72%,48%,863,63%,"1,439",78%,63%,31%,49%,878,39%,"1,449",24%,38%,50%
44,45,Yannick Hanfmann,962,31,2015,190lbs(86kg),"6'4""(193cm)",17-10,48-45,0,0,Career High 2023.07.03,45,"$587,976","$2,001,763",420,165,64%,69%,52%,595,62%,"1,093",79%,63%,30%,49%,632,37%,"1,107",21%,37%,50%
45,46,Sebastian Baez,955,22,2018,154lbs(70kg),"5'7""(170cm)",16-16,45-49,1,2,Career High 2023.04.17,30,"$619,986","$1,925,200",144,157,72%,64%,53%,626,58%,988,73%,61%,32%,52%,678,38%,999,26%,39%,50%
46,47,Emil Ruusuvuori,936,24,2018,174lbs(79kg),"6'2""(188cm)",19-17,88-81,0,0,Career High 2023.04.03,37,"$728,490","$2,909,564",677,491,65%,70%,50%,"1,038",59%,"1,826",77%,63%,31%,52%,"1,099",39%,"1,815",24%,39%,51%
47,48,J.J. Wolf,924,24,2019,170lbs(77kg),"6'0""(183cm)",16-14,33-33,0,0,Career High 2023.02.13,39,"$571,480","$1,568,145",452,206,59%,73%,50%,420,61%,773,79%,64%,28%,48%,369,43%,762,21%,36%,50%
48,49,Gregoire Barrere,889,29,2012,176lbs(80kg),"6'0""(183cm)",16-15,29-46,0,0,Career High 2023.07.03,49,"$508,435","$2,212,071",362,199,62%,69%,50%,538,57%,956,76%,62%,27%,48%,487,35%,963,18%,35%,49%
49,50,Aslan Karatsev,888,29,2011,187lbs(85kg),"6'1""(185cm)",11-11,65-70,0,3,Career High 2022.02.07,14,"$629,358","$4,010,417",629,575,60%,71%,51%,963,62%,"1,672",78%,63%,30%,50%,985,39%,"1,683",23%,37%,50%
50,51,Richard Gasquet,875,37,2002,174lbs(79kg),"6'0""(183cm)",12-16,600-381,1,16,Career High 2007.07.09,7,"$528,130","$20,393,060","5,115","2,343",61%,73%,53%,"5,489",61%,"11,614",81%,65%,30%,51%,"6,832",41%,"11,443",24%,38%,52%
51,52,Zhizhen Zhang,874,26,2012,192lbs(87kg),"6'4""(193cm)",8-8,19-21,0,0,Career High 2023.07.03,52,"$510,045","$1,179,949",218,60,64%,71%,53%,200,59%,424,81%,65%,26%,46%,184,35%,432,15%,33%,49%
52,53,Bernabe Zapata Miralles,856,26,2015,174lbs(79kg),"6'0""(183cm)",15-16,31-45,0,0,Career High 2023.05.22,37,"$596,594","$1,907,829",161,158,65%,63%,48%,682,56%,908,67%,58%,32%,50%,535,46%,892,27%,39%,48%
53,54,Mackenzie McDonald,855,28,2016,160lbs(73kg),"5'10""(178cm)",19-16,86-100,0,0,Career High 2022.08.01,48,"$603,142","$4,390,976",953,449,64%,69%,51%,"1,336",60%,"2,308",77%,62%,29%,51%,"1,247",40%,"2,329",22%,37%,50%
54,55,Brandon Nakashima,855,21,2019,185lbs(84kg),"6'2""(188cm)",7-11,62-48,0,1,Career High 2022.10.17,43,"$348,908","$2,823,724",791,209,63%,75%,53%,588,62%,"1,388",84%,67%,27%,49%,659,39%,"1,373",18%,36%,51%
55,56,Dusan Lajovic,854,33,2007,183lbs(83kg),"6'0""(183cm)",16-11,179-228,1,2,Career High 2019.04.29,23,"$498,630","$8,373,021","1,402",686,66%,68%,52%,"2,723",60%,"4,692",77%,62%,28%,49%,"2,509",39%,"4,713",21%,36%,49%
56,57,Roberto Carballes Baena,850,30,2011,170lbs(77kg),"6'0""(183cm)",15-15,89-111,1,2,Career High 2023.04.10,49,"$513,591","$3,868,319",526,591,63%,66%,50%,"1,525",58%,"2,354",73%,60%,30%,51%,"1,316",43%,"2,389",24%,38%,49%
57,58,Maxime Cressy,845,26,2019,187lbs(85kg),"6'7""(201cm)",8-16,41-50,0,1,Career High 2022.08.08,31,"$482,748","$2,406,154","1,346",829,60%,79%,52%,442,67%,"1,220",88%,68%,24%,42%,402,37%,"1,217",12%,30%,50%
58,59,Mikael Ymer,831,24,2015,165lbs(75kg),"6'0""(183cm)",9-14,72-80,0,0,Career High 2023.04.17,50,"$370,236","$2,579,641",288,399,68%,64%,48%,"1,064",56%,"1,580",70%,59%,32%,51%,"1,005",42%,"1,557",27%,39%,49%
59,60,Laslo Djere,820,28,2013,181lbs(82kg),"6'2""(188cm)",17-15,113-122,0,2,Career High 2019.06.10,27,"$547,209","$4,468,145","1,197",793,60%,71%,50%,"1,614",61%,"2,790",77%,62%,29%,49%,"1,532",38%,"2,803",21%,36%,49%
60,61,Arthur Fils,816,19,2021,182lbs(83kg),"6'1""(185cm)",10-5,10-6,1,1,Career High 2023.06.26,58,"$337,602","$455,789",94,47,58%,72%,50%,109,66%,178,79%,63%,30%,50%,105,38%,176,23%,37%,50%
61,62,Yibing Wu,814,23,2017,176lbs(80kg),"6'0""(183cm)",11-11,17-20,1,1,Career High 2023.05.29,54,"$448,013","$887,917",137,64,61%,67%,52%,243,59%,401,75%,61%,29%,47%,180,43%,396,19%,36%,49%
62,63,Juan Pablo Varillas,806,27,2013,170lbs(77kg),"6'1""(185cm)",9-11,28-29,0,0,Career High 2023.06.26,60,"$506,134","$1,070,669",144,48,58%,68%,52%,247,60%,418,76%,61%,29%,52%,220,43%,422,23%,38%,49%
63,64,Max Purcell,796,25,2016,176lbs(80kg),"6'1""(185cm)",2-5,10-18,0,0,Career High 2023.06.26,62,"$296,340","$2,135,638",189,53,61%,69%,45%,225,58%,337,72%,60%,26%,48%,174,35%,344,18%,35%,47%
64,65,Marcos Giron,795,29,2014,170lbs(77kg),"5'11""(180cm)",15-17,68-81,0,0,Career High 2022.05.16,49,"$487,249","$3,173,112",753,271,61%,71%,50%,"1,033",60%,"1,870",78%,63%,27%,48%,942,38%,"1,894",19%,35%,49%
65,66,Daniel Altmaier,778,24,2014,176lbs(80kg),"6'2""(188cm)",7-12,24-48,0,0,Career High 2022.05.23,53,"$548,536","$1,775,408",445,186,62%,69%,48%,581,64%,867,76%,61%,27%,46%,434,35%,876,18%,34%,48%
66,67,Marton Fucsovics,777,31,2010,181lbs(82kg),"6'2""(188cm)",14-13,139-137,0,1,Career High 2019.03.04,31,"$596,802","$6,046,038","1,034",874,58%,70%,51%,"1,842",60%,"3,095",76%,62%,31%,50%,"1,948",40%,"3,116",25%,39%,50%
67,68,Pedro Cachin,772,28,2013,169lbs(77kg),"6'1""(185cm)",9-17,17-27,0,0,Career High 2022.11.14,54,"$462,440","$1,271,007",258,91,62%,71%,48%,303,58%,545,77%,62%,29%,47%,281,36%,534,19%,36%,49%
68,69,Nuno Borges,770,26,2019,171lbs(78kg),"6'1""(185cm)",5-11,12-18,0,0,Career High 2023.04.10,63,"$387,735","$878,629",99,66,64%,68%,55%,179,60%,346,79%,64%,25%,47%,144,33%,352,14%,34%,49%
69,70,Jordan Thompson,769,29,2013,181lbs(82kg),"6'0""(183cm)",9-12,95-124,0,0,Career High 2019.07.15,43,"$416,281","$4,647,125","1,395",456,62%,71%,50%,"1,515",60%,"2,762",78%,63%,28%,48%,"1,428",36%,"2,748",19%,36%,49%
70,71,Corentin Moutet,768,24,2016,156lbs(71kg),"5'9""(175cm)",4-8,48-63,0,0,Career High 2022.11.07,51,"$320,924","$2,931,879",265,369,67%,65%,49%,951,57%,"1,477",72%,60%,30%,50%,879,38%,"1,503",22%,38%,49%
71,72,Sebastian Ofner,768,27,2015,179lbs(81kg),"6'3""(191cm)",3-2,14-16,0,0,Career High 2023.06.26,69,"$376,649","$1,305,381",177,107,56%,72%,48%,241,63%,369,76%,62%,27%,49%,201,40%,372,22%,36%,49%
72,73,Christopher O'Connell,766,29,2011,172lbs(78kg),"6'0""(183cm)",13-14,24-39,0,0,Career High 2023.06.19,70,"$414,464","$1,663,446",452,124,63%,72%,50%,461,62%,879,80%,64%,26%,47%,421,34%,875,16%,34%,49%
73,74,Constant Lestienne,761,31,2012,170lbs(77kg),"5'11""(180cm)",5-12,13-22,0,0,Career High 2023.02.06,48,"$370,773","$1,265,398",127,112,63%,66%,44%,291,57%,398,68%,58%,29%,50%,213,39%,388,22%,37%,48%
74,75,Luca Van Assche,758,19,2021,159lbs(72kg),"5'11""(180cm)",4-8,4-9,0,0,Career High 2023.06.12,69,"$327,206","$462,551",22,35,60%,65%,50%,104,61%,145,72%,59%,31%,48%,77,42%,147,22%,37%,48%
75,76,Albert Ramos-Vinolas,752,35,2007,168lbs(76kg),"6'2""(188cm)",6-18,272-314,0,4,Career High 2017.05.08,17,"$443,147","$10,323,939","1,918","1,406",62%,68%,52%,"4,295",61%,"7,033",76%,62%,29%,50%,"4,006",40%,"7,100",23%,37%,50%
76,77,Jason Kubler,742,30,2011,163lbs(74kg),"5'10""(178cm)",12-12,26-29,0,0,Career High 2023.04.24,63,"$538,593","$2,120,120",314,194,62%,70%,49%,372,58%,703,78%,62%,28%,48%,330,45%,707,21%,36%,49%
77,78,Jack Draper,741,21,2018,187lbs(85kg),"6'4""(193cm)",10-7,31-24,0,0,Career High 2023.01.16,38,"$350,794","$1,435,857",422,159,59%,75%,51%,340,69%,605,83%,65%,28%,52%,354,40%,607,23%,37%,51%
78,79,Quentin Halys,741,26,2012,187lbs(85kg),"6'3""(191cm)",12-13,21-48,0,0,Career High 2023.01.16,61,"$439,435","$2,297,739",868,373,60%,77%,47%,488,65%,"1,000",83%,65%,26%,47%,434,36%,997,16%,33%,49%
79,80,Matteo Arnaldi,737,22,2019,157lbs(71kg),"6'1""(185cm)",5-5,5-9,0,0,Career High 2023.06.12,72,"$327,842","$591,230",57,44,59%,68%,52%,118,68%,169,78%,61%,28%,51%,97,33%,165,19%,37%,49%
80,81,Marc-Andrea Huesler,726,27,2016,189lbs(86kg),"6'5""(196cm)",10-16,27-36,0,1,Career High 2023.02.13,47,"$467,388","$1,326,841",461,142,60%,74%,53%,332,61%,708,82%,66%,25%,47%,272,40%,718,15%,33%,49%
81,82,Arthur Rinderknech,722,27,2018,193lbs(88kg),"6'5""(196cm)",7-13,47-50,0,0,Career High 2022.10.31,42,"$419,302","$2,154,465",886,216,64%,75%,48%,571,65%,"1,197",83%,65%,26%,45%,519,38%,"1,203",17%,33%,50%
82,83,Alex Molcan,721,25,2015,160lbs(73kg),"5'10""(178cm)",12-12,45-38,0,0,Career High 2022.05.23,38,"$489,791","$1,877,164",264,187,65%,67%,52%,582,59%,953,75%,62%,31%,51%,577,40%,945,25%,38%,50%
83,84,Alexandre Muller,711,26,2014,165lbs(75kg),"6'0""(183cm)",7-5,8-10,0,0,Career High 2023.06.26,82,"$314,313","$932,743",61,35,63%,64%,50%,136,52%,217,70%,59%,31%,50%,113,47%,218,24%,38%,49%
84,85,Daniel Elahi Galan,693,27,2015,159lbs(72kg),"6'3""(191cm)",2-12,38-47,0,0,Career High 2022.11.28,67,"$323,232","$1,840,737",278,102,63%,68%,49%,520,57%,874,74%,61%,29%,49%,474,39%,870,21%,37%,49%
85,86,Dominik Koepfer,681,29,2016,175lbs(79kg),"5'11""(180cm)",0-0,37-48,0,0,Career High 2021.05.10,50,"$113,703","$2,420,154",333,301,62%,67%,49%,709,61%,"1,037",73%,60%,29%,50%,575,40%,"1,049",22%,37%,49%
