,Ranking,Players,Atp_points,Ages,Turned Pro,Weight,height,W-L Year,W-L Career,Title Year,Title Career,Career High Date,Career High Rank,Year Price Money,Career Price Money,Aces,Double Faults,First Serves,First Serve Points Won,Second Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
285,286,Omar Jasika,189,26,,132lbs(60kg),"6'0""(183cm)",0-0,1-3,0,0,Career High 2023.01.30,223,"$31,258","$308,662",10,12,69%,64%,43%,39,51%,59,68%,58%,25%,49%,23,43%,59,17%,34%,46%
286,287,Elmar Ejupovic,188,30,,198lbs(90kg),"6'4""(193cm)",0-0,0-0,0,0,Career High 2023.04.17,273,"$25,967","$130,747",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
287,288,Joao Lucas Reis Da Silva,186,23,,165lbs(75kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2023.05.08,259,"$19,730","$100,310",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
288,289,Jason Jung,185,34,2011,152lbs(69kg),"5'11""(180cm)",0-0,11-23,0,0,Career High 2018.07.30,114,"$18,875","$1,098,635",100,77,66%,66%,50%,219,60%,339,74%,60%,26%,50%,172,35%,342,18%,35%,48%
289,290,Maks Kasnikowski,185,20,,171lbs(78kg),"5'11""(180cm)",0-1,0-1,0,0,Career High 2023.07.03,290,"$13,576","$38,864",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
290,291,Giovanni Fonio,185,25,,173lbs(78kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2023.05.29,276,"$20,315","$109,596",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
291,292,John Millman,184,34,2006,174lbs(79kg),"6'0""(183cm)",2-2,121-149,0,1,Career High 2018.10.15,33,"$124,661","$5,437,609","1,055",504,62%,68%,53%,"1,956",59%,"3,360",76%,62%,28%,50%,"1,800",41%,"3,321",22%,37%,50%
292,293,Dominik Palan,184,22,,187lbs(85kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.06.26,288,"$16,230","$54,855",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
293,294,Valentin Vacherot,184,24,,184lbs(83kg),"6'4""(193cm)",2-1,4-2,0,0,Career High 2022.09.19,261,"$44,306","$102,548",4,1,74%,60%,45%,14,71%,12,67%,56%,34%,39%,4,50%,12,17%,36%,47%
294,295,Valentin Royer,182,22,,189lbs(86kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.04.03,267,"$14,842","$62,608",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
295,296,Antoine Bellier,181,26,2014,184lbs(83kg),"6'5""(196cm)",0-1,5-8,0,0,Career High 2023.04.10,168,"$91,031","$307,481",63,43,63%,75%,43%,61,70%,96,81%,63%,25%,47%,37,38%,95,15%,32%,49%
296,297,Marek Gengel,180,27,,177lbs(80kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.01.16,148,"$7,051","$163,205",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
297,298,Goncalo Oliveira,180,28,2012,174lbs(79kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2017.12.25,194,"$27,097","$431,910",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
298,299,Dino Prizmic,179,17,,176lbs(80kg),"6'2""(188cm)",0-1,0-2,0,0,Career High 2023.06.19,289,"$22,251","$42,791",1,2,60%,49%,38%,15,33%,14,29%,45%,33%,56%,8,50%,15,27%,42%,43%
299,300,Hiroki Moriya,179,32,,143lbs(65kg),"5'6""(168cm)",0-0,3-11,0,0,Career High 2015.01.05,143,"$15,645","$1,001,220",29,41,62%,63%,46%,131,59%,163,67%,57%,25%,48%,67,45%,164,18%,34%,46%
300,301,Oriol Roca Batalla,179,30,,165lbs(75kg),"5'9""(175cm)",0-0,0-1,0,0,Career High 2015.08.03,139,"$11,348","$334,073",31,11,59%,73%,53%,24,79%,40,88%,65%,23%,42%,15,20%,38,8%,30%,49%
301,302,Skander Mansouri,179,27,,189lbs(86kg),"6'4""(193cm)",1-0,5-6,0,0,Career High 2022.12.12,191,"$7,129","$184,967",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
302,303,Ugo Blanchet,178,24,,149lbs(68kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2022.11.14,282,"$15,437","$83,412",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
303,304,Alibek Kachmazov,176,20,,173lbs(78kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.06.19,250,"$1,495","$91,634",5,8,56%,54%,49%,18,33%,26,54%,52%,34%,40%,19,26%,26,19%,36%,43%
304,305,Chun-Hsin Tseng,172,21,2019,143lbs(65kg),"5'9""(175cm)",1-4,9-18,0,0,Career High 2022.08.08,83,"$157,409","$797,976",47,78,59%,66%,48%,165,58%,243,71%,58%,23%,48%,120,27%,248,13%,32%,46%
305,306,Daniel Masur,171,28,2013,172lbs(78kg),"6'0""(183cm)",0-0,1-5,0,0,Career High 2022.03.07,176,"$20,411","$655,126",29,18,69%,67%,46%,50,64%,71,75%,60%,23%,49%,31,26%,72,11%,33%,47%
306,307,Evan Furness,171,24,,145lbs(66kg),"5'8""(173cm)",0-0,0-1,0,0,Career High 2022.10.03,197,"$38,550","$268,018",2,6,54%,72%,44%,10,50%,17,71%,59%,22%,64%,6,83%,17,29%,35%,49%
307,308,Guido Pella,170,33,2007,174lbs(79kg),"6'0""(183cm)",6-9,125-147,0,1,Career High 2019.08.19,20,"$309,463","$6,066,946","1,276",641,65%,68%,51%,"2,042",62%,"3,372",77%,62%,28%,51%,"1,914",37%,"3,367",21%,37%,50%
308,309,Maxime Janvier,170,26,2014,187lbs(85kg),"6'5""(196cm)",0-0,0-5,0,0,Career High 2019.09.30,170,"$18,272","$717,153",19,7,59%,67%,46%,47,53%,71,69%,58%,26%,42%,52,17%,71,13%,33%,46%
309,310,Juan Bautista Torres,170,21,,162lbs(73kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2022.08.01,226,"$13,429","$94,005",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
310,311,Henri Squire,170,22,,180lbs(82kg),"6'5""(196cm)",0-0,0-1,0,0,Career High 2022.08.15,287,"$36,533","$99,366",3,0,55%,91%,44%,1,0%,4,75%,70%,20%,33%,0,0%,3,0%,25%,50%
311,312,Filip Cristian Jianu,170,21,,171lbs(78kg),"5'11""(180cm)",2-0,3-1,0,0,Career High 2023.01.16,264,"$19,739","$115,813",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
312,313,Yunseong Chung,169,25,2017,171lbs(78kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2019.07.22,129,"$10,825","$203,847",6,0,67%,69%,47%,6,50%,15,80%,62%,19%,42%,3,33%,16,6%,27%,45%
313,314,Nicolas Alvarez Varona,168,22,,182lbs(83kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2022.10.17,284,,"$108,594",17,17,64%,69%,32%,26,54%,33,64%,56%,32%,56%,19,53%,31,32%,42%,49%
314,315,Mathias Bourgue,167,29,,183lbs(83kg),"6'2""(188cm)",0-0,1-4,0,0,Career High 2017.04.24,140,"$18,755","$811,259",20,12,65%,65%,45%,48,50%,75,68%,58%,32%,47%,51,25%,78,17%,38%,47%
315,316,Nam Hoang Ly,164,26,,152lbs(69kg),"5'9""(175cm)",2-0,5-4,0,0,Career High 2022.11.28,231,"$7,500","$100,571",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
316,317,Joao Sousa,163,34,2008,163lbs(74kg),"6'1""(185cm)",3-9,219-267,0,4,Career High 2016.05.16,28,"$181,098","$8,297,996","1,579",974,61%,69%,49%,"3,255",58%,"5,406",75%,61%,29%,48%,"3,044",37%,"5,443",21%,37%,49%
317,318,Gael Monfils,162,36,2004,187lbs(85kg),"6'4""(193cm)",1-4,526-306,0,11,Career High 2016.11.07,6,"$160,257","$21,143,671","6,699","2,947",62%,73%,50%,"5,121",61%,"10,185",81%,64%,32%,49%,"6,248",41%,"10,178",25%,39%,51%
318,319,Peter Gojowczyk,162,33,2006,183lbs(83kg),"6'2""(188cm)",0-0,75-99,0,1,Career High 2018.06.25,39,"$48,694","$3,756,574","1,174",677,54%,74%,48%,"1,214",59%,"2,098",76%,62%,27%,49%,"1,024",39%,"2,111",19%,35%,49%
319,320,Eduardo Ribeiro,162,25,,165lbs(75kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2023.07.03,320,"$20,625","$57,068",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
320,321,Alexander Weis,162,26,,182lbs(83kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.06.26,317,"$14,514","$98,444",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
321,322,Gilles Simon,161,38,2002,154lbs(70kg),"6'0""(183cm)",0-0,504-394,0,14,Career High 2009.01.05,6,,"$16,045,734","3,756","2,028",57%,69%,51%,"6,502",60%,"10,837",76%,62%,31%,52%,"6,751",42%,"10,747",27%,40%,51%
322,323,Nikoloz Basilashvili,161,31,2008,174lbs(79kg),"6'1""(185cm)",1-5,146-172,0,5,Career High 2019.05.27,16,"$162,318","$8,743,852","1,235","1,337",59%,68%,49%,"2,373",58%,"3,743",73%,60%,28%,50%,"2,077",39%,"3,756",21%,37%,49%
323,324,Denis Yevseyev,160,30,,178lbs(81kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2022.08.08,262,"$19,026","$242,824",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
324,325,Louis Wessels,159,24,,198lbs(90kg),"6'6""(198cm)",0-1,1-2,0,0,Career High 2022.07.11,267,"$37,364","$182,481",10,13,69%,67%,42%,24,63%,35,74%,60%,34%,42%,17,35%,34,18%,37%,48%
325,326,Tristan Schoolkate,159,22,,191lbs(87kg),"6'0""(183cm)",0-0,1-2,0,0,Career High 2023.03.06,188,"$6,714","$183,349",2,8,58%,67%,46%,6,33%,11,64%,58%,35%,42%,5,40%,11,18%,38%,47%
326,327,Alexandar Lazarov,158,25,2016,185lbs(84kg),"6'3""(191cm)",1-1,7-8,0,0,Career High 2022.11.14,272,"$30,605","$182,272",22,19,59%,63%,44%,36,44%,56,64%,55%,23%,44%,22,27%,55,11%,30%,43%
327,328,Murkel Dellien,158,25,,184lbs(83kg),"6'4""(193cm)",0-0,0-0,0,0,Career High 2023.04.10,206,"$6,544","$66,631",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
328,329,Jules Marie,158,31,,168lbs(76kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2015.03.09,228,"$19,553","$123,289",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
329,330,Benjamin Lock,158,30,,190lbs(86kg),"6'6""(198cm)",0-1,3-5,0,0,Career High 2023.07.03,175,"$6,041","$190,218",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
330,331,Lucas Gerch,157,28,,189lbs(86kg),"6'4""(193cm)",0-0,0-0,0,0,Career High 2023.02.13,278,"$12,155","$89,616",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
331,332,Pol Martin Tiffon,157,23,,160lbs(73kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2022.08.01,235,"$24,840","$100,249",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
332,333,Francesco Forti,157,23,2018,176lbs(80kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2022.02.28,313,"$16,673","$125,680",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
333,334,Clement Tabur,156,23,,160lbs(73kg),"5'8""(173cm)",0-0,0-0,0,0,Career High 2022.08.22,310,"$15,371","$111,455",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
334,335,Antoine Hoang,156,27,2016,168lbs(76kg),"6'0""(183cm)",0-0,6-13,0,0,Career High 2019.08.19,98,"$11,591","$1,099,477",65,99,67%,64%,47%,189,56%,281,70%,59%,27%,51%,138,43%,277,21%,36%,48%
335,336,Evan Zhu,154,24,,165lbs(75kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.03.06,271,"$20,305","$110,695",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
336,337,Gustavo Heide,152,21,,160lbs(73kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.07.03,305,"$3,802","$64,119",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
337,338,Illya Marchenko,152,35,2006,191lbs(87kg),"6'1""(185cm)",0-0,68-95,0,0,Career High 2016.09.26,49,"$17,590","$2,365,079",634,543,58%,71%,48%,977,58%,"1,615",75%,61%,28%,49%,861,40%,"1,643",21%,36%,49%
338,339,Kyrian Jacquet,150,22,,151lbs(68kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2021.10.25,300,"$18,598","$130,286",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
339,340,Javier Barranco Cosano,150,24,,154lbs(70kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2022.04.25,247,"$6,634","$189,929",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
340,341,Christian Langmo,150,27,,200lbs(91kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.06.12,333,"$15,626","$69,495",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
341,342,Nick Chappell,147,30,,180lbs(82kg),"5'10""(178cm)",0-1,0-2,0,0,Career High 2021.11.08,329,"$31,634","$149,508",4,1,58%,65%,56%,10,60%,20,80%,61%,23%,33%,3,33%,21,5%,27%,45%
342,343,Viktor Durasovic,147,26,2016,176lbs(80kg),"6'1""(185cm)",0-4,8-22,0,0,Career High 2019.10.14,298,"$30,192","$236,636",54,29,55%,63%,43%,88,58%,89,58%,54%,16%,38%,10,40%,94,4%,24%,41%
343,344,Manuel Guinard,147,27,2016,181lbs(82kg),"6'6""(198cm)",0-0,4-5,0,0,Career High 2022.10.31,134,"$45,073","$516,469",35,28,63%,64%,46%,107,67%,112,69%,57%,31%,53%,73,40%,112,26%,39%,48%
344,345,Alex Bolt,146,30,2011,185lbs(84kg),"6'0""(183cm)",0-0,13-26,0,0,Career High 2019.03.04,125,"$77,111","$1,503,967",293,117,60%,69%,50%,323,57%,543,75%,62%,27%,47%,263,36%,541,17%,34%,48%
345,346,Dmitry Popko,146,26,2011,192lbs(87kg),"6'3""(191cm)",0-0,4-5,0,0,Career High 2021.10.25,162,"$13,337","$596,588",8,10,51%,65%,47%,19,47%,28,64%,56%,33%,60%,21,33%,28,25%,42%,48%
346,347,Michael Vrbensky,146,23,,,,0-0,0-1,0,0,Career High 2021.07.19,282,"$10,889","$131,654",6,0,57%,67%,41%,10,70%,11,73%,56%,21%,58%,2,100%,11,18%,35%,46%
347,348,Billy Harris,145,28,,189lbs(86kg),"6'4""(193cm)",0-0,0-0,0,0,Career High 2022.10.03,274,"$2,038","$179,422",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
348,349,Gastao Elias,144,32,2008,167lbs(76kg),"5'11""(180cm)",0-0,31-56,0,0,Career High 2016.10.24,57,"$41,988","$1,454,582",264,201,52%,69%,50%,536,57%,785,71%,60%,31%,46%,425,41%,802,22%,37%,49%
349,350,Jerome Kym,142,20,2019,192lbs(87kg),"6'6""(198cm)",0-0,1-0,0,0,Career High 2023.06.26,348,"$15,039","$54,995",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
350,351,Lukas Rosol,142,37,2004,182lbs(83kg),"6'4""(193cm)",0-0,123-160,0,2,Career High 2014.09.22,26,"$26,582","$4,710,289","1,714",878,58%,72%,50%,"1,871",63%,"3,236",78%,63%,26%,46%,"1,467",36%,"3,235",17%,34%,49%
351,352,Fernando Verdasco,140,39,2001,198lbs(90kg),"6'2""(188cm)",0-5,559-447,0,7,Career High 2009.04.20,7,"$82,008","$18,339,988","5,422","3,892",67%,71%,51%,"6,621",63%,"12,492",80%,64%,30%,50%,"7,404",40%,"12,517",24%,38%,51%
352,353,Bernard Tomic,140,30,2008,201lbs(91kg),"6'5""(196cm)",0-0,186-182,0,4,Career High 2016.01.11,17,"$15,457","$6,317,903","2,739",609,66%,71%,50%,"2,396",64%,"4,480",81%,64%,25%,48%,"2,109",36%,"4,426",17%,34%,49%
353,354,Yanki Erel,140,22,,160lbs(73kg),"5'10""(178cm)",0-0,0-1,0,0,Career High 2023.06.19,346,"$16,744","$63,080",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
354,355,Carlos Taberner,139,25,2015,172lbs(78kg),"6'0""(183cm)",0-1,13-24,0,0,Career High 2022.05.23,85,"$34,010","$1,050,238",93,133,62%,67%,48%,289,59%,424,72%,60%,27%,50%,221,43%,431,22%,36%,48%
355,356,Duje Ajdukovic,138,22,2018,171lbs(78kg),"6'2""(188cm)",0-0,1-2,0,0,Career High 2022.05.23,229,"$17,580","$179,805",10,6,53%,58%,46%,20,40%,30,60%,53%,38%,52%,25,44%,29,38%,43%,48%
356,357,Sascha Gueymard Wayenburg,138,19,,176lbs(80kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.06.19,351,"$38,974","$105,115",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
357,358,Filip Peliwo,138,29,2013,167lbs(76kg),"5'11""(180cm)",0-0,2-6,0,0,Career High 2018.05.21,161,"$10,861","$364,802",25,31,54%,68%,45%,59,59%,73,67%,57%,31%,49%,41,44%,78,23%,39%,48%
358,359,Gerald Melzer,137,32,2007,176lbs(80kg),"6'2""(188cm)",0-0,20-36,0,0,Career High 2016.11.21,68,"$8,833","$974,048",188,121,64%,67%,49%,354,58%,540,73%,60%,26%,51%,303,38%,542,21%,36%,48%
359,360,Pablo Andujar,136,37,2003,176lbs(80kg),"5'11""(180cm)",0-4,163-242,0,4,Career High 2015.07.13,32,"$68,396","$7,033,305",652,"1,303",64%,64%,48%,"3,249",57%,"4,669",70%,59%,31%,52%,"2,967",40%,"4,723",25%,39%,49%
360,361,Marius Copil,136,32,2008,191lbs(87kg),"6'3""(191cm)",0-0,66-93,0,0,Career High 2019.01.28,56,"$14,236","$2,706,863","1,415",399,57%,75%,52%,802,62%,"1,641",82%,65%,25%,44%,631,34%,"1,645",13%,32%,49%
361,362,Calvin Hemery,135,28,2013,184lbs(83kg),"6'3""(191cm)",0-0,2-8,0,0,Career High 2018.04.30,116,"$20,104","$500,844",57,57,60%,66%,41%,73,49%,109,66%,56%,28%,44%,45,33%,112,13%,33%,45%
362,363,Remy Bertola,135,24,,165lbs(75kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2022.10.31,301,"$2,572","$65,845",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
363,364,Marko Topo,134,19,2021,178lbs(81kg),"6'1""(185cm)",0-1,0-4,0,0,Career High 2023.06.12,351,"$18,990","$64,492",9,16,52%,66%,39%,36,53%,39,56%,53%,25%,38%,13,23%,39,8%,30%,43%
364,365,Karl Friberg,134,24,,187lbs(85kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.06.19,355,"$12,968","$74,690",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
365,366,Edan Leshem,133,26,,158lbs(72kg),"6'0""(183cm)",0-1,5-13,0,0,Career High 2017.12.18,249,"$14,203","$190,953",7,5,66%,68%,55%,15,60%,26,77%,64%,21%,48%,9,33%,26,12%,32%,48%
366,367,Lucas Poullain,132,27,,151lbs(68kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2023.06.12,353,"$21,311","$62,644",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
367,368,Maxime Chazal,132,30,,158lbs(72kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2016.03.07,234,"$17,756","$181,984",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
368,369,Dayne Kelly,131,32,,,,0-0,0-0,0,0,Career High 2017.10.23,252,"$12,210","$225,848",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
369,370,Kalin Ivanovski,131,19,,187lbs(85kg),"6'5""(196cm)",0-0,0-0,0,0,Career High 2023.06.19,362,"$14,999","$33,977",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
370,371,George Loffhagen,130,22,,184lbs(83kg),"6'2""(188cm)",0-1,0-1,0,0,Career High 2023.06.19,364,"$27,637","$56,860",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
371,372,Jack Sock,128,30,2011,195lbs(88kg),"6'3""(191cm)",2-4,181-154,0,4,Career High 2017.11.20,8,"$59,960","$11,932,383","2,168","1,410",59%,74%,52%,"2,020",63%,"4,166",82%,65%,27%,48%,"2,061",39%,"4,177",19%,35%,50%
372,373,Alex Marti Pujolras,128,24,,162lbs(73kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.04.03,343,"$19,951","$66,818",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
373,374,Mathys Erhard,128,21,,180lbs(82kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.05.29,342,"$28,935","$62,293",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
374,375,Aidan McHugh,128,23,,155lbs(70kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2022.02.28,298,"$10,061","$161,955",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
375,376,Luke Saville,127,29,2012,183lbs(83kg),"6'2""(188cm)",3-3,53-74,0,0,Career High 2015.02.23,23,"$37,566","$1,302,876",44,43,60%,64%,50%,86,60%,120,72%,59%,27%,42%,37,49%,123,15%,33%,46%
376,377,Charles Broom,127,25,,180lbs(82kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2022.11.21,205,"$5,429","$112,136",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
377,378,Alastair Gray,126,25,,184lbs(83kg),"6'4""(193cm)",0-0,1-3,0,0,Career High 2022.09.19,237,"$6,985","$212,353",21,19,60%,70%,44%,34,65%,48,75%,60%,29%,47%,33,27%,51,18%,35%,47%
378,379,Robin Haase,125,36,2005,170lbs(77kg),"6'3""(191cm)",1-1,234-272,0,2,Career High 2012.07.30,33,"$17,123","$8,105,841","2,987","1,273",59%,72%,49%,"3,253",60%,"5,774",78%,63%,28%,48%,"3,010",40%,"5,807",20%,36%,49%
379,380,Clement Chidekh,125,22,2022,165lbs(75kg),"5'11""(180cm)",0-1,0-1,0,0,Career High 2023.05.22,331,"$24,992","$48,228",1,3,66%,69%,63%,13,85%,16,88%,67%,16%,64%,4,50%,16,13%,36%,51%
380,381,Colin Sinclair,124,28,,180lbs(82kg),"6'2""(188cm)",1-0,1-1,0,0,Career High 2023.06.19,200,"$10,263","$86,479",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
381,382,Cedrik-Marcel Stebe,122,32,2010,154lbs(70kg),"5'11""(180cm)",0-0,32-50,0,0,Career High 2012.02.13,71,"$18,595","$1,576,651",288,229,61%,65%,47%,665,55%,929,68%,58%,30%,50%,547,39%,915,23%,38%,48%
382,383,Alexey Vatutin,122,30,,152lbs(69kg),"5'10""(178cm)",0-1,2-6,0,0,Career High 2018.07.02,136,"$16,962","$575,138",8,29,62%,59%,43%,75,45%,98,58%,53%,34%,55%,63,49%,99,31%,42%,48%
383,384,Omni Kumar,122,21,,160lbs(73kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2023.07.03,384,"$12,279","$54,046",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
384,385,Mukund Sasikumar,122,26,,173lbs(78kg),"6'1""(185cm)",0-1,0-2,0,0,Career High 2019.10.07,229,"$20,264","$183,861",6,5,62%,66%,38%,21,62%,21,62%,55%,22%,49%,13,31%,21,19%,33%,44%
385,386,Kenny De Schepper,121,36,2010,220lbs(100kg),"6'8""(203cm)",0-0,26-61,0,0,Career High 2014.04.07,62,"$11,424","$1,678,033",715,373,67%,72%,49%,604,66%,"1,085",81%,64%,24%,43%,392,29%,"1,089",10%,31%,48%
386,387,Strong Kirchheimer,121,28,,175lbs(79kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.05.22,385,"$10,445","$85,611",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
387,388,Lucas Pouille,119,29,2012,185lbs(84kg),"6'1""(185cm)",1-1,140-129,0,5,Career High 2018.03.19,10,"$160,205","$8,276,212","1,965",988,56%,73%,51%,"1,877",63%,"3,401",80%,63%,27%,48%,"1,677",39%,"3,385",19%,35%,50%
388,389,Stefan Kozlov,119,25,2013,174lbs(79kg),"6'0""(183cm)",0-0,9-26,0,0,Career High 2022.07.18,103,"$27,166","$993,233",91,150,63%,63%,44%,322,56%,370,62%,56%,27%,50%,212,37%,373,21%,36%,46%
